_id,url,time,fixtime,language,repositoryname,repositoryurl,star,commitnum,tag,day_of_fix
0,https://github.com/gnuradio/gnuradio/pull/612,2015/8/29,2015/8/29,cpp,gnuradio,https://github.com/gnuradio/gnuradio,4600,15471,unclosed file/connection,0
1,https://github.com/opencv/opencv/pull/24291,2023/9/18,2023/9/20,cpp,opencv,https://github.com/opencv/opencv,73500,33774,data member leak,2
2,https://github.com/opencv/opencv/pull/23638,2023/5/17,2023/5/19,cpp,opencv,https://github.com/opencv/opencv,74200,33896,exception,2
3,https://github.com/opencv/opencv/pull/23276,2023/2/19,2023/5/14,cpp,opencv,https://github.com/opencv/opencv,73500,33774,exception,84
4,https://github.com/opencv/opencv/pull/21820,2022/4/6,2022/4/6,cpp,opencv,https://github.com/opencv/opencv,74200,33912,early return,0
5,https://github.com/opencv/opencv/pull/21710,2022/3/7,2022/3/13,cpp,opencv,https://github.com/opencv/opencv,74200,33912,wrong deallocator call,6
6,https://github.com/opencv/opencv/pull/20293,2021/6/27,2021/6/27,cpp,opencv,https://github.com/opencv/opencv,74200,33912,exception,0
7,https://github.com/opencv/opencv/pull/24211,2023/9/1,2023/9/5,cpp,opencv,https://github.com/opencv/opencv,74200,33912,pointer overwrite,4
8,https://github.com/opencv/opencv/pull/20211,2021/6/4,2021/6/6,cpp,opencv,https://github.com/opencv/opencv,74200,33912,skipped by continue/break,2
9,https://github.com/opencv/opencv/pull/16820,2020/3/15,2020/3/16,cpp,opencv,https://github.com/opencv/opencv,74200,33912,exception,1
10,https://github.com/opencv/opencv/pull/11164,2018/3/27,2018/3/27,cpp,opencv,https://github.com/opencv/opencv,74200,33931,unclosed file/connection,0
11,https://github.com/opencv/opencv/pull/10919,2018/2/22,2018/2/22,cpp,opencv,opencv,74400,33931,early return,0
12,https://github.com/opencv/opencv/pull/10081,2017/11/13,2018/2/17,cpp,opencv,opencv,74400,33913,parameter object leak,96
13,https://github.com/opencv/opencv/pull/9776,2017/9/27,2017/10/5,cpp,opencv,opencv,74400,33913,exception,8
14,https://github.com/opencv/opencv/pull/9229,2017/7/25,2017/7/25,cpp,opencv,opencv,74400,33913,unclosed file/connection,0
16,https://github.com/opencv/opencv/pull/6882,2016/2/17,2016/7/12,cpp,opencv,opencv,74400,33913,exception,146
17,https://github.com/opencv/opencv/pull/6399,2016/4/13,2016/4/13,cpp,opencv,opencv,74400,33913,temporary memory leak,0
18,https://github.com/opencv/opencv/pull/6341,2016/3/29,2016/3/29,cpp,opencv,opencv,74200,33913,parameter object leak,0
19,https://github.com/opencv/opencv/pull/5572,2015/12/3,2015/12/3,cpp,opencv,opencv,74400,33913,wrong deallocator call,0
20,https://github.com/opencv/opencv/pull/5490,2015/10/12,2015/10/12,cpp,opencv,opencv,74200,33913,temporary memory leak,0
21,https://github.com/opencv/opencv/pull/5289,2015/9/2,2015/9/2,cpp,opencv,opencv,74200,33913,exception,0
22,https://github.com/opencv/opencv/pull/5283,2015/9/1,2015/9/1,cpp,opencv,opencv,74200,33913,temporary memory leak,0
23,https://github.com/opencv/opencv/pull/5281,2015/9/2,2015/9/2,cpp,opencv,opencv,74200,33913,temporary memory leak,0
24,https://github.com/opencv/opencv/pull/5280,2015/9/1,2015/9/1,cpp,opencv,opencv,74200,33913,temporary memory leak,0
25,https://github.com/opencv/opencv/pull/5274,2015/9/1,2015/9/1,cpp,opencv,opencv,74200,33913,temporary memory leak,0
26,https://github.com/opencv/opencv/pull/5226,2015/8/20,2015/8/20,cpp,opencv,opencv,74200,33913,pointer overwrite,0
27,https://github.com/opencv/opencv/pull/5177,2015/8/12,2015/8/19,cpp,opencv,opencv,74200,33913,temporary memory leak,7
28,https://github.com/opencv/opencv/pull/4003,2015/5/5,2015/5/5,oc,opencv,opencv,74400,33913,temporary memory leak,0
29,https://github.com/opencv/opencv/pull/3867,2015/3/24,2015/3/24,cpp,opencv,opencv,74400,33913,global memory leak,0
30,https://github.com/opencv/opencv/pull/3698,2015/2/16,2015/2/16,cpp,opencv,opencv,74400,33913,wrong deallocator call,0
31,https://github.com/opencv/opencv/pull/3565,2014/12/31,2014/12/31,cpp,opencv,opencv,74400,33913,temporary memory leak,0
32,https://github.com/opencv/opencv/pull/3497,2014/12/10,2014/12/24,cpp,opencv,opencv,74400,33913,exception,14
34,https://github.com/opencv/opencv/pull/3414,2014/11/12,2014/11/13,cpp,opencv,opencv,74400,33913,temporary memory leak,1
35,https://github.com/opencv/opencv/pull/2997,2014/7/23,2014/7/25,cpp,opencv,opencv,74400,33913,data member leak,2
38,https://github.com/opencv/opencv/pull/2856,2014/6/13,2014/7/2,cpp,opencv,opencv,74400,33913,wrong deallocator call,19
40,https://github.com/opencv/opencv/pull/2229,2014/1/30,2014/1/30,cpp,opencv,opencv,74400,33913,early return,0
41,https://github.com/opencv/opencv/pull/2017,2013/12/19,2013/12/25,cpp,opencv,opencv,74400,33913,temporary memory leak,6
42,https://github.com/opencv/opencv/pull/1997,2013/12/16,2013/12/18,cpp,opencv,opencv,74400,33913,temporary memory leak,2
